พรรคกรีน
นายกัมพล ปัญกุล
นายชูวิบูลย์ เงางาม
นายทองอยู่ คงขันธ์
นายสรพันธ์ คุณากรวงศ์
นายชวรัชต์ อุรัสยะนันทน์
นายวิรัติ ศักดิ์จิรพาพงษ์
นายประสาน วงศ์สวัสดิ์
นายธนรัชต์ วิเชียรรัตน์
นายใจพิชญ์ สุขุมาลจันทร์
นางสาวชญาภา สินธุไพร
นายไกรศรี พจนศิลป
นายเฉลิมชัย นิยมไท
นายประเสริฐ พัฒนผลไพบูลย์
นายสุรชัย ชินชัย
นายวรรณกร ภัทรปกรณ์
นายทองมา ทองอํา
นายนําชัย ภูไพบูลย์
นายปรีชา สุวรรณะ
นายลิลิต กัมมารังกูร
พลเอกสมโภชน์ นนทชัย
พลตรีไพบูลย์ ควรชม
นางอนัญญา พลเยี่ยม
นางบุณยนุช สมพันธุ์
พันตรีกันตวรรธน์ ล้อมเมือง
นายวุฒิเดช ทองพูล
นายสวรรค์ ขันทอง
นายสุธี พลวัฒน์
นายสุพัชร พันธุระศรี
นายสุวรรณ อินพรหม
นายอิสระ หัสดินทร์
นายอุดมเกียรติ อภินันทิกุล ปานมี
นายธํารงณ์ศักดิ์ บุญรักษ์
นายกิตติ เจริญพรพานิชกุล
นายประสิทธิ์ เลิศศรี
นายพินิต พิศุทธิวงษ์ชัย
นายโพธินิพิฐ นันทะพรหม
นายฤทธิ์ลือชา คุ้มแพรวพรรณ
นายศักดา จิตต์ระเบียบ
นางสาวสิริกาญจน์ หลอดแก้วชุติมา
นายทนงศักดิ์ ปืนถาวร
พรรคไทยรุ่งเรือง
นายฉัตรชัย แนวพญา
พลตรีสุชิน วิเศษโกสิน
นายกิตติ พุทธนพ
นางวาสนา ทับแสง
นายอรรถพร สุสุทธิพงศ์
นายจักรพันธ์ นาคลดา
นายตรีโลจนะ คเนจร ณ อยุธยา
พรรคไทยศรีวิไลย์
นางสาวภคอร จันทรคณา
นายมงคลกิตติ์ สุขสินธารานนท์
นายณัชพล สุพัฒนะ
พลโทอัศวิน รัชฎานนท์
นายวิวัฒน์ เจริญพาณิชย์ศิริ
นายธนกร ศรีบุญมาก
นางสาวพัทธนันท์ ฤทธิ์ชัยเรืองเดช
นายจํารูญศักดิ์ จันทรมัย
นายศยุน ชัยปัญญา
นายอธิวัฒน์ บุญชาติ
นางสาวชุติมา โชคอารีย์
นางสาวอริญรดา สาระชัย
นายสุวรรณ บัวโรย
นายชนันท์พล เชื้อรอด
นายไพศาล พิพัฒน์พฤกษา
นางสุวภรณ์ แนมสัยคงแก้ว
นางสุภาพันธุ์ รัชฎานนท์
นางนวพร ศรีรัตนอังกูร
นางน้อยหน่า ศรีบุญมาก
นายอนวรรช ศรีคําเงิน
นายสายหยุด แพนคร
นายสมเจตร อินดี
นางสาวชนิมณฑ์ สืบอ้าย
นางสาวระพีพรรณ เพ็ชรนิล
นางสาวณิชาภา โชคอารีย์
นายปรมัตถ์ อ่อนบ้านแดง
พรรคไทรักธรรม
นายพีระวิทย์ เรื่องลือดลภาค
นายจตุรวิทย์ กาละมิตร์
นายมานะ สมันตรัฐ
นายสหรัฐ รัตนฐากูร
นายเฉลิมพล ไขว้พันธ์
นายชิษณุพงศ์ ไตรรัตน์รังษี
นางพัตร์พิมล ฉิมนาคพันธ์
นางวิมลลักษณ์ ไชยหานาม
พันเอกสุพล พละสุ
นายทรงศักดิ์ ภูขามคม
นายหริธนเดชว์ คงไข่ศรี
นายสัจจา ศรีเจริญ
พันตํารวจโทฐานิษฐ์ นันทาวิศิษฐ์
นายคมฤทธิ์ นักเร
นายกฤษ เทวโรปกรณ์
นายชาญชัย บัวซาว
นายรณกร สกุลสุกใส
นางภูริดา กาละมิตร์
นายกฤษณกันต์ พงษ์ไทย
นายกัญจน์พิสิษฐ์ รัตนฐากูร
นางสาวศศิภา แพทย์สกุล
นางสาวเพลินจิตร์ อินทมะโน
นางสาวชุติมน แพทย์สกุล
นายทัศนะ รักษากิจ
นายสมจิต จันทิปะ
นางพรทิวา อามัดชา
นายเอกพงษ์ บุญ
นายมนัส มีชาวนา
นางสุชาดา ขวัญสกุล
นายวิทิต แลด
นางสาววณัฐรกานท์ ธณภรพสิษฐ์
นายสมชาย เล็กน้อย
นายพชร ไวยลิยา
นางสาวสุฑารัตน์ รัตนานุกูล
นายชัยมงคล พันธ์ทอง
นางผุสดี คุ้มใหญ่โต
นางริญลฎา เภาสุวรรณ์
