ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
233,กรุงเทพมหานคร,6,7,นาง,ดวงกมล,ดวงสร้อยทอง,รวมพลังประชาชาติไทย
234,กรุงเทพมหานคร,6,8,นาย,คริส,โปตระนันทน์,อนาคตใหม่
235,กรุงเทพมหานคร,6,9,นาย,พีรชาติ,ยุกตานนท์,ชาติไทยพัฒนา
236,กรุงเทพมหานคร,6,10,นาย,อรรถวิชช์,สุวรรณภักดี,ประชาธิปัตย์
237,กรุงเทพมหานคร,6,11,นางสาว,ภาดาท์,วรกานนท์,พลังประชารัฐ
238,กรุงเทพมหานคร,6,12,นาย,ไชยา,ประดิษฐธรรม,เพื่อชาติ
239,กรุงเทพมหานคร,6,13,นาย,วิโรจน์,เจษฎาดิลก,ประชาชาติ
240,กรุงเทพมหานคร,6,14,นาย,เอนก,นาคดิลก,ประชาภิวัฒน์
241,กรุงเทพมหานคร,6,15,นาย,รุจชรินทร์,ทองใหญ่,พลังท้องถิ่นไท
242,กรุงเทพมหานคร,6,16,นาย,พิชัย,บุราวาศ,ไทยศรีวิไลย์
243,กรุงเทพมหานคร,6,17,นาย,สุรภาส,วิเชียร,ภราดรภาพ
244,กรุงเทพมหานคร,6,18,พลตํารวจตรี,สุริยะ,อยู่เย็น,รักษ์ผืนป่าประเทศไทย
245,กรุงเทพมหานคร,6,19,นาย,ประวีร์,จินดาวรรณ,เพื่อแผ่นดิน
