ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,"2
 
 
 
 
 
 
 
 3","ตำบลไกรใน ตำบลกกแรต
 และตำบลบ้านใหม่สุขเกษม)
 ๑. อำเภอทุ่งเสลี่ยม
 ๒. อำเภอบ้านด่านลานหอย
 ๓. อำเภอคีรีมาศ
 ๔. อำเภอกงไกรลาศ (ยกเว้นตำบลไกรกลาง ตำบลไกรใน ตำบลกกแรต
 และตำบลบ้านใหม่สุขเกษม)
 ๑. อำเภอศรีสัชนาลัย
 ๒. อำเภอศรีนคร
 ๓. อำเภอสวรรคโลก",,1
38,หนองคาย,3,3,"1
 
 
 
 
 
 
 
 2
 
 
 
 
 
 3","๑. อำเภอเมืองหนองคาย (ยกเว้นตำบลพระธาตุบังพวน และตำบลเวียงคุก) ๒. อำเภอสระใคร
 ๓. อำเภอโพนพิสัย (เฉพาะตำบลเหล่าต่างคำ ตำบลทุ่งหลวง และตำบลสร้างนางขาว)
 ๑. อำเภอโพนพิสัย
 (ยกเว้นตำบลเหล่าต่างคำ
 ตำบลทุ่งหลวง และตำบลสร้างนางขาว)
 ๒. อำเภอรัตนวาปี
 ๓. อำเภอเฝ้าไร่
 ๑. อำเภอเมืองหนองคาย (เฉพาะตำบลพระธาตุบังพวน
 และตำบลเวียงคุก)",,1
,,,,,,,0
หนา ๒๒,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,,"๒. อำเภอท่าบ่อ
 ๓. อำเภอศรีเชียงใหม่
 ๔. อำเภอโพธิ์ตาก
 ๕. อำเภอสังคม",,1
39,หนองบัวลำภู,3,3,"1
 
 
 
 
 
 
 ๒
 
 
 
 
 
 
 
 
 ๓","๑. อำเภอเมืองหนองบัวลำภู
 ๒. อำเภอโนนสัง (เฉพาะตำบลกุดดู่ ตา บลโนนสัง ตำบลบ้านค้อ ตำบลบ้านถิ่น และตำบลปางกู่)
 ๑. อำเภอศรีบุญเรือง
 ๒. อำเภอนาวัง
 (ยกเว้นตำบลวังปลาป้อม)
 ๓. อำเภอโนนสัง (ยกเว้นตำบลกุดดู่ ตา บลโนนสัง ตำบลบ้านค้อ ตำบลบ้านถิ่น และตำบลปางกู่) ๑. อำเภอนากลาง
 ๒. อำเภอสุวรรณคูหา
 ๓. อำเภอนาวัง
 (เฉพาะตำบลวังปลาป้อม)",,1
40,กำแพงเพชร,4,4,1,อำเภอเมืองกำแพงเพชร (เฉพาะตำบลในเมือง ตำบลหนองปลิง ตำบลอ่างทอง ตำบลเทพนคร ตำบลนครชุม,,1
,,,,,,,0
หนา ๒๓,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,"2
 
 
 
 
 
 
 
 
 
 3
 
 
 
 
 4","ตำบลคลองแม่ลาย ตำบลธำมรงค์ ตำบลนิคมทุ่งโพธิ์ทะเล
 ตำบลวังทอง ตำบลลานดอกไม้ ตำบลคณฑี ตำบลท่าขุนราม ตำบลนาบ่อคำ และตำบลทรงธรรม) ๑. อำเภอพรานกระต่าย
 ๒. อำเภอลานกระบือ ๓. อำเภอโกสัมพีนคร
 ๔. อำเภอไทรงาม (เฉพาะตำบลมหาชัย ตำบลพานทอง ตำบลหนองคล้า และตำบลหนองทอง)
 ๕. อำเภอเมืองกำแพงเพชร
 (เฉพาะตำบลสระแก้ว)
 ๑. อำเภอคลองขลุง
 ๒. อำเภอคลองลาน
 ๓. อำเภอปางศิลาทอง
 ๔. อำเภอเมืองกำแพงเพชร
 (เฉพาะตำบลไตรตรึงษ์)
 ๑. อำเภอขาณุวรลักษบุรี
 ๒. อำเภอบึงสามัคคี
 ๓. อำเภอทรายทองวัฒนา
 ๔. อำเภอไทรงาม",,1
,,,,,,,0
หนา ๒๔,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,,(ยกเว้นตำบลมหาชัย ตำบลพานทอง ตำบลหนองคล้า และตำบลหนองทอง),,1
